Rooms,Area,Bathrooms,Condition,Region,Price_Range
3,195.0,2,4,11,4
5,227.0,4,3,24,3
3,243.0,3,4,11,3
3,245.0,3,4,11,3
3,124.14,2,5,10,3
3,199.91,3,2,11,3
4,240.0,3,1,10,4
3,227.0,3,1,10,4
2,76.0,2,2,10,3
4,200.0,3,5,10,3
3,196.85,3,5,10,3
3,105.0,2,2,9,3
3,160.0,4,2,10,3
3,195.0,2,2,11,4
3,300.0,3,5,9,5
3,56.58,2,5,11,1
4,110.0,2,2,10,3
4,137.04,3,5,9,4
3,105.0,3,2,9,3
3,195.0,4,5,10,3
3,164.0,3,5,10,3
2,73.0,1,2,10,3
3,190.9,4,5,10,4
3,131.0,2,5,10,3
3,271.56,4,5,10,4
3,294.0,3,5,10,3
3,197.0,4,5,10,3
6,234.0,4,5,11,3
3,193.0,4,5,9,3
3,180.0,3,5,10,3
1,94.0,1,0,11,1
3,237.17,3,5,10,3
4,250.0,4,2,11,4
4,220.0,2,4,11,3
4,346.0,3,5,11,4
4,202.41,4,1,10,4
4,121.0,2,3,10,1
1,120.0,2,2,25,2
3,50.0,1,0,11,2
3,432.0,3,0,10,3
4,312.0,3,5,10,3
5,349.0,4,5,11,4
3,175.0,3,1,9,4
2,65.0,1,3,9,2
4,282.0,4,1,10,4
3,211.0,3,4,10,4
4,240.0,3,4,10,4
3,227.0,3,4,10,4
4,136.0,2,5,10,3
4,259.0,3,1,11,3
4,168.0,3,5,10,3
2,48.0,1,3,11,1
6,312.0,3,5,11,3
4,315.0,4,5,10,4
10,176.0,4,3,26,3
3,300.0,4,5,10,3
3,161.86,2,5,11,3
3,170.0,2,4,10,4
4,174.58,3,4,10,4
2,266.0,1,3,24,1
3,137.82,2,4,10,3
3,217.0,3,5,10,4
4,174.0,3,1,9,4
4,281.0,4,5,10,3
3,99.0,2,3,10,1
4,85.0,2,3,10,3
3,243.0,3,4,10,4
9,276.0,2,0,11,1
4,302.0,4,1,9,5
4,358.0,4,5,10,4
