Rooms,Area,Bathrooms,Condition,Region,Price_Range
4,147.0,4,5,10,2
4,134.0,2,5,10,2
4,236.0,2,2,11,2
4,82.0,2,2,11,2
4,320.0,3,1,11,2
2,110.0,2,2,10,1
3,140.0,2,2,10,1
5,180.0,3,2,11,2
2,120.0,1,5,10,0
2,270.0,1,5,11,5
3,750.0,2,5,10,5
1,50.0,2,2,25,0
2,100.0,1,2,35,1
4,122.85,1,5,35,5
1,50.0,1,1,63,0
3,130.0,2,2,20,1
2,98.0,1,5,19,0
6,300.0,2,5,48,1
3,173.28,3,5,22,2
3,132.0,3,5,8,2
5,216.0,4,5,8,2
3,110.0,2,5,7,2
3,230.0,4,1,8,2
3,165.45,4,2,7,2
8,702.0,4,5,23,3
3,120.0,2,2,8,2
2,120.0,1,1,22,2
5,320.0,4,5,8,2
4,200.0,3,5,8,2
3,165.45,4,5,7,2
3,157.0,2,5,7,1
5,120.0,3,5,7,2
2,90.0,1,2,7,5
1,55.0,1,2,23,1
2,160.0,1,5,8,1
3,170.0,3,1,7,2
2,82.5,1,2,7,1
3,100.0,2,5,22,1
2,100.0,2,2,22,1
3,130.0,2,5,7,1
3,260.0,4,2,8,2
3,170.0,3,5,23,1
3,130.0,3,5,7,1
4,250.0,3,5,8,1
2,130.0,1,5,22,2
2,95.0,3,5,8,1
3,70.0,1,2,7,1
4,500.0,3,5,8,1
4,120.0,2,2,53,0
3,153.0,2,5,53,0
2,93.0,2,2,56,0
5,240.0,2,5,57,1
1,50.0,1,2,57,0
4,95.0,2,2,57,1
2,58.0,1,5,28,0
1,30.0,1,2,57,0
4,100.0,2,5,57,1
3,190.0,2,2,11,2
4,180.0,4,5,12,5
2,80.0,2,5,12,0
2,60.0,1,2,12,1
5,170.0,2,5,47,2
2,108.0,3,2,46,2
3,100.0,1,5,46,0
2,60.0,1,2,62,0
2,60.0,1,2,46,0
4,300.0,3,5,61,1
4,165.0,4,5,35,3
4,167.0,4,1,50,2
3,126.0,3,5,35,2
1,52.2,1,5,50,1
5,130.0,3,5,35,3
2,60.0,1,2,20,2
2,101.63,3,5,50,1
1,57.0,1,5,50,1
1,32.0,1,5,50,1
3,164.9,3,5,50,2
4,140.0,4,5,50,2
3,142.0,3,1,20,2
2,77.35,2,5,65,1
7,663.0,4,2,35,3
4,215.0,4,1,35,2
4,219.0,4,5,35,2
3,142.0,3,5,20,2
2,100.0,2,5,20,2
2,55.0,2,2,65,1
2,91.2,2,5,65,1
2,71.0,1,5,50,1
1,65.0,2,2,20,1
5,400.0,3,2,65,2
2,100.0,2,5,20,1
